ticker,inception,orats_first_avail,gap_months,ticker_aliased,2008 H2 (GFC: Lehman → YE),2009 (recovery),2010-2014 (low-vol grind),2015 H2 (yuan deval),2016 H1 (Brexit),2018 Feb (Volmageddon),2020 Feb-Apr (COVID),2022-2026 (current era)
SPY,1993-01-22,2007-01-03,167,no,✓,✓,✓,✓,✓,✓,✓,✓
IWM,2000-05-22,2007-01-03,79,no,✓,✓,✓,✓,✓,✓,✓,✓
SMH,2000-05-05,2007-01-03,80,no,✓,✓,✓,✓,✓,✓,✓,✓
XBI,2006-01-31,2007-01-03,11,no,✓,✓,✓,✓,✓,✓,✓,✓
KRE,2006-06-19,2008-02-19,20,no,✓,✓,✓,✓,✓,✓,✓,✓
KBE,2005-11-08,2007-01-03,13,no,✓,✓,✓,✓,✓,✓,✓,✓
XLF,1998-12-16,2007-01-03,96,no,✓,✓,✓,✓,✓,✓,✓,✓
IBB,2001-02-05,2007-01-03,70,no,✓,✓,✓,✓,✓,✓,✓,✓
ARKK,2014-10-31,2018-04-02,41,no,✗,✗,✗,✗,✗,✗,✓,✓
KWEB,2013-07-31,2015-01-02,17,no,✗,✗,✗,✓,✓,✓,✓,✓
EEM,2003-04-07,2007-01-03,44,no,✓,✓,✓,✓,✓,✓,✓,✓
FXI,2004-10-05,2007-01-03,26,no,✓,✓,✓,✓,✓,✓,✓,✓
MSTR,1998-06-11,2007-01-03,102,no,✓,✓,✓,✓,✓,✓,✓,✓
META,2012-05-18,2013-01-02,7,yes,✗,✗,✓,✓,✓,✓,✓,✓
AMD,1979-01-01,2007-01-03,336,no,✓,✓,✓,✓,✓,✓,✓,✓
GOOGL,2004-08-19,2007-01-03,28,yes,✓,✓,✓,✓,✓,✓,✓,✓
JPM,1969-01-01,2007-01-03,456,no,✓,✓,✓,✓,✓,✓,✓,✓
COIN,2021-04-14,2022-01-03,8,no,✗,✗,✗,✗,✗,✗,✗,✓
TLT,2002-07-22,2007-01-03,53,no,✓,✓,✓,✓,✓,✓,✓,✓
HYG,2007-04-04,2008-01-02,8,no,✓,✓,✓,✓,✓,✓,✓,✓
GLD,2004-11-18,2009-01-02,49,no,✗,✓,✓,✓,✓,✓,✓,✓
SLV,2006-04-21,2009-01-02,32,no,✗,✓,✓,✓,✓,✓,✓,✓
USO,2006-04-10,2008-01-02,20,no,✓,✓,✓,✓,✓,✓,✓,✓
